client_id,total_properties_owned,total_investment_value,average_property_value,average_floor_area,age,client_type,gender,country,region,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,cluster,buyer_segment
C0060,4,1355662.25,338915.5625,1119.4675,54.0,Individual,F,Usa,California,Home,No,Website,5.0,2,Global Investors
C0061,4,1306907.58,326726.895,1101.62,59.0,Individual,M,Usa,Utah,Home,No,Agency,5.0,1,Corporate Investors
C0064,4,1448881.28,362220.32,1095.85,52.0,Individual,M,Uk,Northern Ireland,Investment,No,Agency,4.0,2,Global Investors
C0067,5,1431941.84,286388.368,851.818,49.0,Individual,M,Usa,California,Home,No,Website,2.0,1,Corporate Investors
C0069,5,1439142.47,287828.494,957.588,56.0,Individual,M,Usa,California,Investment,No,Website,4.0,1,Corporate Investors
C0072,6,2246488.58,374414.76333333337,1129.4916666666666,73.0,Individual,M,Usa,Nevada,Investment,No,Website,2.0,0,First-Time Buyers
C0073,4,1413902.33,353475.5825,1194.0325,61.0,Individual,F,Denmark,Capital Region,Investment,No,Agency,1.0,2,Global Investors
C0074,5,1709458.65,341891.73,1138.044,67.0,Individual,F,Usa,Oregon,Investment,No,Client,5.0,2,Global Investors
C0075,4,1269395.74,317348.935,1048.3425,56.0,Individual,F,Usa,California,Home,No,Website,3.0,1,Corporate Investors
C0093,5,1732558.38,346511.676,1196.466,64.0,Individual,M,Usa,California,Home,No,Agency,2.0,2,Global Investors
C0099,6,2000308.58,333384.76333333337,1201.5883333333334,85.0,Individual,M,Usa,California,Investment,No,Website,4.0,0,First-Time Buyers
C0100,4,1449544.65,362386.1625,1174.44,57.0,Individual,M,Usa,California,Home,No,Website,3.0,2,Global Investors
C0101,4,1125013.8,281253.45,874.345,75.0,Individual,F,Usa,Nevada,Home,No,Website,3.0,1,Corporate Investors
C0105,5,1328084.36,265616.87200000003,850.948,67.0,Individual,F,Usa,California,Investment,Yes,Website,2.0,1,Corporate Investors
C0106,4,957679.27,239419.8175,820.9825000000001,73.0,Individual,M,Usa,Colorado,Home,No,Website,4.0,1,Corporate Investors
C0107,5,1715058.23,343011.646,1102.66,67.0,Individual,M,Usa,California,Home,Yes,Agency,4.0,2,Global Investors
C0109,5,1995551.09,399110.218,1285.854,93.0,Individual,F,Usa,California,Investment,Yes,Agency,5.0,0,First-Time Buyers
C0110,5,1205555.46,241111.092,811.4019999999999,67.0,Individual,F,Usa,California,Investment,Yes,Agency,5.0,1,Corporate Investors
C0112,5,1775142.2,355028.44,1115.986,66.0,Individual,F,Usa,California,Investment,Yes,Agency,1.0,2,Global Investors
C0115,5,1757354.59,351470.918,1143.692,48.0,Individual,F,Usa,California,Home,No,Agency,5.0,2,Global Investors
C0116,8,2484590.08,310573.76,1039.8925,71.0,Individual,F,Usa,California,Investment,No,Website,4.0,0,First-Time Buyers
C0117,8,2884556.25,360569.53125,1135.78625,62.0,Individual,M,Uk,Scotland,Investment,No,Agency,4.0,0,First-Time Buyers
C0118,4,1218377.19,304594.2975,1009.1225,78.0,Individual,F,Usa,Oregon,Investment,No,Agency,5.0,1,Corporate Investors
C0126,5,1319929.46,263985.892,850.052,54.0,Individual,F,Usa,California,Investment,No,Agency,2.0,1,Corporate Investors
C0131,5,1428058.5499999998,285611.71,928.794,55.0,Individual,M,Usa,California,Home,No,Website,1.0,1,Corporate Investors
C0135,4,1221442.92,305360.73,1043.61,87.0,Individual,M,Usa,Utah,Investment,No,Agency,2.0,1,Corporate Investors
C0142,5,1673770.19,334754.038,1149.396,48.0,Individual,F,Usa,Nevada,Home,Yes,Website,3.0,2,Global Investors
C0146,4,1481536.39,370384.0975,1242.6425,63.0,Individual,M,Usa,Colorado,Home,No,Website,2.0,2,Global Investors
C0149,4,1049009.0,262252.25,906.485,71.0,Individual,M,Russia,Krasnodar Krai,Investment,No,Agency,3.0,1,Corporate Investors
C0158,4,1439477.66,359869.415,1131.4975,47.0,Individual,F,Usa,Virginia,Investment,Yes,Agency,3.0,2,Global Investors
C0160,5,1679716.96,335943.392,1144.06,67.0,Individual,F,Usa,California,Home,No,Website,4.0,2,Global Investors
C0161,9,2534264.26,281584.91777777777,939.4144444444444,75.0,Individual,M,Usa,California,Home,No,Website,5.0,0,First-Time Buyers
C0165,3,1276849.33,425616.44333333336,1357.1933333333334,70.0,Individual,F,Usa,California,Home,Yes,Website,3.0,2,Global Investors
C0167,7,2749577.33,392796.7614285714,1320.3814285714286,71.0,Individual,F,Uk,Scotland,Home,Yes,Website,3.0,0,First-Time Buyers
C0168,4,1491785.87,372946.4675,1329.6025,66.0,Individual,F,Usa,Nevada,Home,No,Agency,3.0,2,Global Investors
C0171,4,1278753.71,319688.4275,1070.72,35.0,Individual,F,Usa,Washington,Investment,Yes,Client,5.0,1,Corporate Investors
C0174,3,865359.73,288453.24333333335,869.7866666666667,44.0,Individual,F,Usa,California,Investment,No,Client,3.0,1,Corporate Investors
C0175,4,1606138.12,401534.53,1313.38,64.0,Individual,M,Usa,Washington,Home,No,Agency,5.0,2,Global Investors
C0177,7,2269897.21,324271.03,1160.9514285714286,75.0,Individual,F,Uk,England,Home,Yes,Website,5.0,0,First-Time Buyers
C0179,8,2131372.11,266421.51375,947.545,40.0,Individual,F,Usa,Oregon,Investment,No,Website,2.0,0,First-Time Buyers
C0182,8,3082362.35,385295.29375,1246.94625,55.0,Individual,F,Germany,North Rhine-Westphalia,Investment,Yes,Website,1.0,0,First-Time Buyers
C0185,7,2491911.81,355987.40142857144,1137.2942857142857,81.0,Individual,F,Usa,Nevada,Home,Yes,Agency,4.0,0,First-Time Buyers
C0186,8,2674286.63,334285.82875,1100.27125,44.0,Individual,F,Usa,Virginia,Home,No,Website,1.0,0,First-Time Buyers
C0188,7,2891447.6,413063.9428571429,1263.962857142857,86.0,Individual,M,Usa,Oregon,Home,Yes,Website,5.0,0,First-Time Buyers
C0189,7,2209659.42,315665.6314285714,1024.6857142857143,68.0,Individual,F,Usa,California,Home,No,Agency,2.0,0,First-Time Buyers
C0191,8,2172926.76,271615.84500000003,913.85125,49.0,Individual,F,Usa,Florida,Home,No,Agency,3.0,0,First-Time Buyers
C0192,7,2900509.1,414358.4428571428,1304.7214285714288,42.0,Individual,F,Belgium,Brussels,Investment,Yes,Website,2.0,0,First-Time Buyers
C0193,7,1933778.24,276254.03428571427,962.7214285714286,58.0,Individual,F,Usa,California,Investment,Yes,Website,4.0,0,First-Time Buyers
C0197,8,2775768.6,346971.075,1082.87,82.0,Individual,M,Usa,Virginia,Home,No,Client,4.0,0,First-Time Buyers
C0200,4,1071359.39,267839.84750000003,920.7075,82.0,Individual,F,Usa,California,Home,No,Agency,1.0,1,Corporate Investors
C0202,3,1019272.59,339757.53,1049.38,30.0,Individual,M,Canada,British Columbia,Home,No,Website,1.0,1,Corporate Investors
C0204,3,934432.98,311477.66,1042.7266666666667,79.0,Individual,F,Usa,California,Home,No,Agency,5.0,1,Corporate Investors
C0206,3,853060.9299999999,284353.6433333333,851.4266666666667,69.0,Individual,F,Usa,California,Home,Yes,Agency,1.0,1,Corporate Investors
C0215,3,1032856.46,344285.48666666663,1110.27,27.0,Individual,F,Germany,Hamburg,Investment,No,Website,4.0,1,Corporate Investors
C0217,4,1238434.91,309608.7275,1019.1225,42.0,Individual,F,Usa,Colorado,Home,No,Website,3.0,1,Corporate Investors
C0220,3,1060812.68,353604.2266666666,1101.55,75.0,Individual,M,Canada,Ontario,Investment,No,Website,1.0,1,Corporate Investors
C0222,3,1223560.82,407853.6066666667,1517.47,70.0,Individual,M,Usa,Utah,Investment,No,Agency,3.0,2,Global Investors
C0223,4,969341.87,242335.4675,837.5225,53.0,Individual,M,Usa,Colorado,Investment,Yes,Website,3.0,1,Corporate Investors
C0226,3,1571251.03,523750.3433333333,1599.3433333333332,68.0,Individual,F,Usa,Colorado,Home,No,Website,2.0,2,Global Investors
C0232,4,1276710.4900000002,319177.62250000006,1036.6525,64.0,Individual,F,Usa,California,Home,Yes,Website,3.0,1,Corporate Investors
C0233,4,1105806.54,276451.635,914.3125,29.0,Individual,M,France,Provence,Home,Yes,Website,4.0,1,Corporate Investors
C0234,3,839967.04,279989.01333333337,973.09,47.0,Individual,F,Usa,New York,Home,Yes,Website,1.0,1,Corporate Investors
C0235,4,1268586.58,317146.645,1092.085,77.0,Individual,M,Usa,California,Home,No,Website,5.0,1,Corporate Investors
C0236,3,1321475.69,440491.89666666667,1449.5,54.0,Individual,M,Canada,Manitoba,Home,No,Agency,3.0,2,Global Investors
C0237,3,1392353.31,464117.77,1630.1366666666663,42.0,Individual,M,Usa,California,Home,Yes,Website,5.0,2,Global Investors
C0238,3,1125732.72,375244.24,1125.17,44.0,Individual,F,Usa,Virginia,Home,Yes,Agency,4.0,2,Global Investors
C0243,4,1382777.89,345694.47250000003,1286.2725,48.0,Individual,F,Usa,Utah,Home,No,Website,2.0,2,Global Investors
C0244,3,1046652.28,348884.0933333333,1095.0333333333335,28.0,Individual,F,Usa,California,Home,No,Website,1.0,1,Corporate Investors
C0245,3,1354584.5,451528.1666666667,1439.256666666667,52.0,Individual,M,Usa,Nevada,Investment,No,Agency,4.0,2,Global Investors
C0248,3,1035934.63,345311.54333333333,1224.68,58.0,Individual,M,Usa,Florida,Home,Yes,Agency,4.0,1,Corporate Investors
C0249,4,1142995.52,285748.88,1027.3249999999998,58.0,Individual,F,Usa,California,Investment,No,Agency,4.0,1,Corporate Investors
C0251,3,463611.95,154537.31666666668,564.01,50.0,Individual,F,Usa,Utah,Home,No,Website,5.0,1,Corporate Investors
C0255,4,1689083.06,422270.765,1253.3075,65.0,Individual,F,Uk,England,Investment,Yes,Client,3.0,2,Global Investors
C0256,3,1150229.15,383409.7166666666,1281.3166666666666,36.0,Individual,M,Usa,California,Home,Yes,Website,1.0,2,Global Investors
C0260,4,1057192.79,264298.1975,820.9225,80.0,Individual,F,Usa,Nevada,Investment,No,Website,3.0,1,Corporate Investors
C0263,3,969140.41,323046.80333333334,1016.7633333333332,45.0,Individual,M,Usa,Nevada,Investment,Yes,Website,2.0,1,Corporate Investors
C0264,4,1127766.02,281941.505,972.245,34.0,Individual,F,Usa,Colorado,Home,Yes,Agency,2.0,1,Corporate Investors
C0267,4,1314495.01,328623.7525,1096.12,78.0,Individual,F,Usa,Utah,Home,Yes,Agency,4.0,1,Corporate Investors
C0269,3,1049110.08,349703.36000000004,1076.69,57.0,Individual,M,Usa,New York,Home,No,Agency,2.0,1,Corporate Investors
C0272,4,1439584.37,359896.0925,1248.58,33.0,Individual,F,Uk,Scotland,Home,Yes,Website,5.0,2,Global Investors
C0274,3,1343449.34,447816.4466666667,1467.89,76.0,Individual,M,Usa,Florida,Home,No,Website,2.0,2,Global Investors
C0278,3,1442538.67,480846.2233333333,1685.2766666666666,71.0,Individual,F,Usa,California,Investment,Yes,Website,2.0,2,Global Investors
C0283,4,1118599.47,279649.8675,922.54,64.0,Individual,F,Usa,Arizona,Home,Yes,Agency,2.0,1,Corporate Investors
C0285,4,1679056.13,419764.0325,1423.1725,27.0,Individual,M,France,Ile-De-France,Investment,No,Website,3.0,2,Global Investors
C0287,3,1171265.03,390421.6766666667,1205.9633333333334,36.0,Individual,F,Australia,New South Wales,Home,No,Website,5.0,2,Global Investors
C0288,4,1364289.23,341072.3075,1198.3725,29.0,Individual,M,Usa,Colorado,Investment,No,Agency,4.0,2,Global Investors
C0290,3,1215398.18,405132.7266666666,1337.1733333333334,64.0,Individual,M,Usa,California,Home,No,Website,2.0,2,Global Investors
C0291,3,1322506.76,440835.5866666666,1523.6933333333334,73.0,Individual,M,Usa,Nevada,Home,No,Agency,2.0,2,Global Investors
C0292,4,1442818.34,360704.585,1084.0625,81.0,Individual,F,Usa,California,Home,No,Agency,1.0,2,Global Investors
C0293,4,1580876.65,395219.1625,1299.3275,33.0,Individual,F,Usa,California,Investment,No,Website,4.0,2,Global Investors
C0295,3,1350375.73,450125.24333333335,1413.8666666666668,59.0,Individual,M,Russia,Tatarstan,Home,No,Agency,3.0,2,Global Investors
C0296,3,1142875.46,380958.4866666666,1238.0233333333333,42.0,Individual,M,Canada,Manitoba,Home,Yes,Client,1.0,2,Global Investors
C0298,4,1262479.23,315619.8075,1069.63,54.0,Individual,F,Usa,Oregon,Home,No,Website,3.0,1,Corporate Investors
C0299,4,1177661.76,294415.44,948.7575,49.0,Individual,F,Uk,Wales,Home,No,Agency,5.0,1,Corporate Investors
C0300,3,844956.55,281652.18333333335,877.9633333333333,67.0,Individual,M,Canada,Alberta,Home,Yes,Website,5.0,1,Corporate Investors
C0301,3,1045776.52,348592.17333333334,1286.4266666666667,67.0,Individual,F,Usa,Virginia,Home,No,Agency,4.0,1,Corporate Investors
C0303,4,1519113.12,379778.28,1242.0825,69.0,Individual,F,Usa,Virginia,Investment,Yes,Website,5.0,2,Global Investors
C0306,4,1399698.79,349924.6975,1075.505,38.0,Individual,M,Usa,California,Home,No,Client,1.0,2,Global Investors
C0308,3,1176582.54,392194.18,1343.8166666666666,54.0,Individual,F,Belgium,Flanders,Investment,Yes,Agency,4.0,2,Global Investors
C0310,3,1389329.62,463109.87333333335,1565.3233333333335,34.0,Individual,M,Uk,Northern Ireland,Home,No,Website,3.0,2,Global Investors
C0311,4,1632999.56,408249.89,1312.8225,74.0,Individual,M,Usa,Georgia,Home,No,Website,2.0,2,Global Investors
C0313,3,1091085.9300000002,363695.31000000006,1190.3133333333333,52.0,Company,M,Usa,California,Home,No,Agency,1.0,1,Corporate Investors
C0319,4,2061054.65,515263.6625,1726.0575,31.0,Company,F,Usa,Texas,Home,Yes,Website,5.0,2,Global Investors
C0320,3,1317732.09,439244.03,1465.92,42.0,Individual,M,Usa,Texas,Home,Yes,Client,3.0,2,Global Investors
C0321,4,1701753.71,425438.4275,1321.76,34.0,Individual,M,Usa,California,Investment,No,Agency,2.0,2,Global Investors
C0326,4,1321975.5,330493.875,1028.1275,68.0,Individual,M,Usa,Oregon,Investment,Yes,Agency,4.0,1,Corporate Investors
C0327,4,1116366.72,279091.68,933.355,65.0,Individual,F,Uk,Scotland,Home,No,Agency,1.0,1,Corporate Investors
C0329,3,770062.4,256687.46666666667,922.6666666666666,28.0,Individual,F,Germany,Hesse,Home,No,Agency,3.0,1,Corporate Investors
C0334,4,1445655.93,361413.9825,1047.99,76.0,Individual,M,Usa,Arizona,Investment,No,Agency,3.0,2,Global Investors
C0339,4,1548824.23,387206.0575,1170.135,63.0,Individual,M,Usa,Utah,Investment,No,Agency,5.0,2,Global Investors
C0341,4,1679555.42,419888.855,1293.0725,44.0,Individual,M,Usa,California,Investment,No,Agency,4.0,2,Global Investors
C0346,3,1174812.86,391604.2866666666,1271.67,63.0,Individual,F,Usa,California,Home,No,Agency,5.0,2,Global Investors
C0350,3,1066408.3,355469.43333333335,1206.2733333333333,34.0,Individual,M,Usa,Arizona,Home,No,Agency,2.0,1,Corporate Investors
C0356,4,964351.9,241087.975,816.16,50.0,Individual,F,Usa,Georgia,Home,No,Website,3.0,1,Corporate Investors
C0357,3,970629.22,323543.0733333333,1059.3466666666666,38.0,Individual,F,Usa,California,Home,No,Website,3.0,1,Corporate Investors
C0359,3,1098189.89,366063.2966666667,1308.513333333333,75.0,Individual,F,Usa,California,Investment,No,Agency,1.0,1,Corporate Investors
C0360,4,1978026.48,494506.62,1676.3825,78.0,Individual,F,Usa,Utah,Home,Yes,Agency,2.0,2,Global Investors
C0361,4,1468372.25,367093.0625,1222.5975,68.0,Individual,M,Uk,England,Home,Yes,Website,1.0,2,Global Investors
C0362,3,1129669.4,376556.4666666666,1162.6166666666666,26.0,Individual,F,Usa,Utah,Home,No,Website,4.0,2,Global Investors
C0364,4,1492505.18,373126.295,1261.78,82.0,Individual,M,Usa,Texas,Home,No,Website,2.0,2,Global Investors
C0365,3,951259.9,317086.63333333336,1164.9766666666667,64.0,Individual,M,Usa,Colorado,Investment,No,Agency,5.0,1,Corporate Investors
C0368,4,1494552.45,373638.1125,1136.215,34.0,Individual,F,Usa,California,Home,Yes,Agency,4.0,2,Global Investors
C0369,4,1586439.08,396609.77,1333.5625,72.0,Individual,F,Usa,Utah,Home,Yes,Agency,2.0,2,Global Investors
C0374,4,916825.86,229206.465,735.11,33.0,Individual,F,Australia,New South Wales,Investment,Yes,Agency,4.0,1,Corporate Investors
C0381,3,878913.19,292971.0633333333,1188.2333333333331,65.0,Individual,M,Usa,California,Home,Yes,Agency,5.0,1,Corporate Investors
C0382,3,980139.25,326713.0833333333,980.87,51.0,Individual,M,Usa,California,Investment,Yes,Agency,1.0,1,Corporate Investors
C0383,4,968070.64,242017.66,809.6575,41.0,Company,F,Mexico,Mexico City,Investment,No,Agency,3.0,1,Corporate Investors
C0385,3,1289646.41,429882.1366666667,1277.2733333333333,57.0,Individual,M,Uk,Northern Ireland,Investment,No,Website,4.0,2,Global Investors
C0391,3,1035012.91,345004.3033333333,1064.4166666666667,60.0,Individual,F,Usa,California,Home,No,Agency,5.0,1,Corporate Investors
C0393,4,1616556.78,404139.195,1298.145,38.0,Individual,F,Usa,Arizona,Home,No,Agency,4.0,2,Global Investors
C0399,4,1229057.49,307264.3725,1093.05,42.0,Individual,M,Usa,California,Home,No,Agency,4.0,1,Corporate Investors
C0404,3,731788.96,243929.6533333333,753.3133333333334,50.0,Individual,F,France,Normandy,Investment,No,Client,1.0,1,Corporate Investors
C0408,3,1320497.01,440165.67,1413.0600000000002,49.0,Individual,M,Usa,California,Home,No,Website,3.0,2,Global Investors
C0411,3,896987.21,298995.73666666663,883.7466666666668,43.0,Individual,F,Usa,California,Home,No,Website,2.0,1,Corporate Investors
C0413,4,1769126.22,442281.555,1431.4575,86.0,Individual,M,Canada,British Columbia,Home,No,Website,3.0,2,Global Investors
C0414,4,1412148.94,353037.235,1144.74,64.0,Individual,M,Usa,California,Home,No,Website,4.0,2,Global Investors
C0415,4,1305928.35,326482.0875,1093.05,46.0,Individual,F,Usa,Nevada,Home,Yes,Agency,5.0,1,Corporate Investors
C0417,3,1354773.96,451591.32,1471.9,79.0,Individual,M,Usa,Utah,Home,No,Website,2.0,2,Global Investors
C0419,4,1174012.19,293503.0475,990.4475,64.0,Individual,M,Usa,Washington,Home,Yes,Agency,3.0,1,Corporate Investors
C0420,3,1260096.16,420032.0533333334,1330.2166666666667,32.0,Individual,F,Usa,California,Home,No,Agency,5.0,2,Global Investors
C0424,3,1034036.3,344678.76666666666,1107.81,28.0,Individual,F,Usa,Florida,Home,No,Website,1.0,1,Corporate Investors
C0425,3,1256932.48,418977.49333333335,1452.263333333333,61.0,Individual,M,Usa,Nevada,Home,No,Agency,2.0,2,Global Investors
C0426,3,890250.61,296750.2033333333,874.19,73.0,Individual,F,Usa,Oregon,Home,Yes,Client,4.0,1,Corporate Investors
C0427,4,1457016.31,364254.0775,1216.595,32.0,Individual,F,Usa,California,Home,Yes,Website,4.0,2,Global Investors
C0429,4,1503904.16,375976.04,1374.585,31.0,Individual,F,Usa,California,Home,Yes,Website,3.0,2,Global Investors
C0430,3,931141.96,310380.6533333333,1033.1033333333332,52.0,Individual,M,Usa,Nevada,Home,No,Agency,2.0,1,Corporate Investors
C0431,4,1544751.33,386187.8325,1246.6175,57.0,Individual,M,Usa,California,Home,Yes,Website,5.0,2,Global Investors
C0433,4,1937061.37,484265.3425,1591.4725,57.0,Individual,F,Usa,California,Investment,Yes,Website,2.0,2,Global Investors
C0436,4,1327594.64,331898.66,1064.2625,54.0,Individual,M,Usa,Colorado,Home,Yes,Client,2.0,1,Corporate Investors
C0437,3,657032.8200000001,219010.94000000003,801.46,36.0,Individual,F,Usa,Texas,Home,No,Website,1.0,1,Corporate Investors
C0438,4,1458641.1,364660.275,1261.78,44.0,Individual,M,Usa,Georgia,Investment,Yes,Client,1.0,2,Global Investors
C0439,3,1273328.62,424442.87333333335,1422.97,70.0,Individual,M,Usa,Virginia,Home,No,Agency,2.0,2,Global Investors
C0441,4,1525849.55,381462.3875,1239.265,46.0,Individual,F,Russia,Krasnodar Krai,Investment,No,Agency,1.0,2,Global Investors
C0445,4,1425691.63,356422.9075,1101.9875,31.0,Individual,F,Usa,California,Home,Yes,Website,2.0,2,Global Investors
C0446,3,1024655.04,341551.68,1258.6899999999998,71.0,Individual,M,Usa,Colorado,Home,No,Website,2.0,1,Corporate Investors
C0448,3,942066.48,314022.16,1050.08,46.0,Individual,M,Usa,Nevada,Investment,No,Agency,2.0,1,Corporate Investors
C0454,3,980683.73,326894.57666666666,1072.4833333333331,65.0,Company,F,Usa,Nevada,Investment,No,Agency,4.0,1,Corporate Investors
C0455,4,1125726.62,281431.655,838.2925,63.0,Individual,F,Usa,California,Home,No,Agency,1.0,1,Corporate Investors
C0458,4,1382881.81,345720.4525,1123.3175,31.0,Individual,M,Usa,Oregon,Investment,No,Agency,1.0,1,Corporate Investors
C0464,4,1455550.0,363887.5,1276.8225,52.0,Individual,M,Usa,Florida,Home,No,Website,5.0,2,Global Investors
C0465,3,707799.9199999999,235933.30666666664,839.1433333333334,77.0,Individual,M,Usa,California,Home,No,Website,3.0,1,Corporate Investors
C0467,3,976066.93,325355.64333333337,1155.6966666666667,74.0,Individual,F,Usa,Ohio,Home,Yes,Agency,1.0,1,Corporate Investors
C0472,3,1277486.37,425828.79,1394.21,75.0,Individual,M,Usa,California,Home,No,Website,4.0,2,Global Investors
C0473,4,1304527.66,326131.91500000004,1042.725,45.0,Individual,F,Usa,California,Home,No,Agency,3.0,1,Corporate Investors
C0474,4,962015.29,240503.8225,824.2025,31.0,Individual,M,Usa,Nevada,Home,No,Website,1.0,1,Corporate Investors
C0476,4,1485303.01,371325.7525,1299.3675,29.0,Individual,M,Usa,Florida,Home,No,Agency,3.0,2,Global Investors
C0477,3,1535114.88,511704.96,1452.263333333333,42.0,Individual,M,Usa,California,Investment,Yes,Website,4.0,2,Global Investors
C0478,3,774892.79,258297.59666666668,997.4133333333332,86.0,Individual,F,Usa,Ohio,Investment,No,Website,4.0,1,Corporate Investors
C0479,4,1172782.93,293195.7325,956.6725,48.0,Individual,F,Usa,California,Home,Yes,Agency,2.0,1,Corporate Investors
C0481,4,1365460.24,341365.06,1040.89,50.0,Individual,M,Usa,Arizona,Home,No,Agency,3.0,1,Corporate Investors
C0482,3,1006132.77,335377.59,1155.4633333333334,46.0,Individual,F,Usa,New York,Investment,Yes,Agency,3.0,1,Corporate Investors
C0483,3,881113.79,293704.5966666667,934.8733333333332,41.0,Individual,M,Usa,Arizona,Investment,No,Website,1.0,1,Corporate Investors
C0485,3,1000841.18,333613.7266666666,1144.8033333333333,35.0,Individual,F,Usa,Arizona,Home,No,Website,2.0,1,Corporate Investors
C0488,4,1218265.36,304566.34,990.9875,47.0,Individual,F,Usa,California,Investment,No,Agency,4.0,1,Corporate Investors
C0489,3,1025274.77,341758.25666666665,1102.8633333333337,76.0,Individual,M,Germany,Berlin,Investment,No,Website,2.0,1,Corporate Investors
C0491,3,1106379.8,368793.26666666666,1168.3833333333334,85.0,Individual,M,Usa,Washington,Home,No,Website,2.0,1,Corporate Investors
C0492,4,1300917.1,325229.275,1008.6625,26.0,Individual,M,Usa,Utah,Home,Yes,Website,3.0,1,Corporate Investors
C0493,4,1312198.98,328049.745,1141.225,72.0,Individual,M,Usa,Colorado,Home,No,Website,3.0,1,Corporate Investors
C0494,4,1052676.65,263169.1625,911.0425,36.0,Individual,F,Usa,California,Home,Yes,Website,3.0,1,Corporate Investors
C0496,4,1120376.44,280094.11,947.7475,36.0,Individual,M,Usa,California,Home,No,Agency,4.0,1,Corporate Investors
C0497,3,1330684.99,443561.6633333333,1438.2933333333333,41.0,Individual,F,Usa,Arizona,Investment,Yes,Website,4.0,2,Global Investors
C0499,3,897769.81,299256.60333333333,863.7633333333333,80.0,Individual,F,Usa,Colorado,Home,Yes,Agency,3.0,1,Corporate Investors
C0501,4,1741166.27,435291.5675,1454.35,31.0,Individual,M,Usa,Nevada,Investment,Yes,Agency,5.0,2,Global Investors
C0506,3,1122203.03,374067.6766666667,1267.4066666666668,59.0,Individual,M,Usa,California,Home,No,Agency,5.0,2,Global Investors
